Batch_Name	Plate_Name	Well_Count	Images_per_site	Sites_per_well_Median	Sites_per_well_mad
2021_07_12_Batch8	BR00125623	384	8	9	0.0
2021_07_12_Batch8	BR00125624	384	8	9	0.0
2021_07_12_Batch8	BR00125625	384	8	9	0.0
2021_07_12_Batch8	BR00125626	384	8	9	0.0
2021_07_12_Batch8	BR00125627	384	8	9	0.0
2021_07_12_Batch8	BR00125628	384	8	9	0.0
2021_07_12_Batch8	BR00125629	384	8	9	0.0
2021_07_12_Batch8	BR00125630	384	8	9	0.0
2021_07_12_Batch8	BR00125631	384	8	9	0.0
2021_07_12_Batch8	BR00125633	384	8	9	0.0
2021_07_12_Batch8	BR00125634	384	8	9	0.0
2021_07_12_Batch8	BR00125635	384	8	9	0.0
2021_07_12_Batch8	BR00125636	384	8	9	0.0
2021_07_12_Batch8	BR00125637	384	8	9	0.005
2021_07_12_Batch8	BR00125638	384	8	9	0.0
2021_07_26_Batch9	BR00121427	384	8	9	0.005
2021_07_26_Batch9	BR00124790	384	8	9	0.0
2021_07_26_Batch9	BR00124791	384	8	9	0.0
2021_07_26_Batch9	BR00126043	384	8	9	0.0
2021_07_26_Batch9	BR00126044	384	8	9	0.0
2021_07_26_Batch9	BR00126045	384	8	9	0.0
2021_07_26_Batch9	BR00126046	384	8	9	0.0
2021_07_26_Batch9	BR00126047	384	8	9	0.0
2021_07_26_Batch9	BR00126048	384	8	9	0.0
2021_07_26_Batch9	BR00126049	384	8	9	0.0
2021_07_26_Batch9	BR00126050	384	8	9	0.0
2021_07_26_Batch9	BR00126051	384	8	9	0.0
2021_07_26_Batch9	BR00126052	384	8	9	0.0
2021_07_26_Batch9	BR00126053	384	8	9	0.0
2021_07_26_Batch9	BR00126054	384	8	9	0.0
2021_07_26_Batch9	BR00126055	384	8	9	0.0
2021_07_26_Batch9	BR00126056	384	8	9	0.0
2021_07_26_Batch9	BR00126057	384	8	9	0.0
2021_07_26_Batch9	BR00126058	384	8	9	0.0
2021_07_26_Batch9	BR00126059	384	8	9	0.0
2021_07_26_Batch9	BR00126060	384	8	9	0.0
2021_07_26_Batch9	BR00126061	384	8	9	0.0
2021_08_02_Batch10	BR00121423	384	8	9	0.000
2021_08_02_Batch10	BR00124793	384	8	9	0.0
2021_08_02_Batch10	BR00124794	384	8	9	0.005
2021_08_02_Batch10	BR00126385	381	8	9	0.021
2021_08_02_Batch10	BR00126386	384	8	9	0.0
2021_08_02_Batch10	BR00126387	384	8	9	0.0
2021_08_02_Batch10	BR00126388	384	8	9	0.0
2021_08_02_Batch10	BR00126389	384	8	9	0.0
2021_08_02_Batch10	BR00126390	384	8	9	0.0
2021_08_02_Batch10	BR00126391	384	8	9	0.005
2021_08_02_Batch10	BR00126392	384	8	9	0.0
2021_08_02_Batch10	BR00126393	384	8	9	0.0
2021_08_02_Batch10	BR00126394	384	8	9	0.0
2021_08_02_Batch10	BR00126395	384	8	9	0.0
2021_08_02_Batch10	BR00126396	384	8	9	0.0
2021_08_02_Batch10	BR00126397	384	8	9	0.0
2021_08_02_Batch10	BR00126398	384	8	9	0.0
2021_08_02_Batch10	BR00126399	384	8	9	0.0
2021_08_02_Batch10	BR00126400	384	8	9	0.0
2021_08_02_Batch10	BR00126401	384	8	9	0.0
2021_08_02_Batch10	BR00126402	384	8	9	0.0
2021_08_02_Batch10	BR00126403	384	8	9	0.0
2021_08_09_Batch11	BR00121426	384	8	9	0.000
2021_08_09_Batch11	BR00126520	384	8	9	0.0
2021_08_09_Batch11	BR00126521	384	8	9	0.0
2021_08_09_Batch11	BR00126534	384	8	9	0.0
2021_08_09_Batch11	BR00126535	384	8	9	0.0
2021_08_09_Batch11	BR00126536	384	8	9	0.0
2021_08_09_Batch11	BR00126537	384	8	9	0.0
2021_08_09_Batch11	BR00126538	384	8	9	0.0
2021_08_09_Batch11	BR00126539	384	8	9	0.0
2021_08_09_Batch11	BR00126540	384	8	9	0.0
2021_08_09_Batch11	BR00126541	384	8	9	0.0
2021_08_09_Batch11	BR00126542	384	8	9	0.0
2021_08_09_Batch11	BR00126544	384	8	9	0.0
2021_08_09_Batch11	BR00126545	384	8	9	0.0
2021_08_09_Batch11	BR00126546	384	8	9	0.0
2021_08_09_Batch11	BR00126547	384	8	9	0.0
2021_08_09_Batch11	BR00126548	384	8	9	0.0
2021_08_09_Batch11	BR00126549	384	8	9	0.0
2021_08_09_Batch11	BR00126550	384	8	9	0.0
2021_08_09_Batch11	BR00126551	384	8	9	0.0
2021_08_09_Batch11	BR00126552	384	8	9	0.0
